"","SN01_1","SN02_1","SN09_1","SN12_1","SN17_1","SN11","SN06_1","SN16_1","SN18_2","SN15_1","SN05_1","SN08","SN13_4","SN04_1","SN10_1"
"ENSG00000188229",5829,4315,6820,6453,6278,5244,2609,7096,6028,8862,14026,4843,5378,5400,4268
"ENSG00000188986",2308,1594,1746,1446,1773,2742,1418,1881,1490,1675,2607,1806,2178,1081,1491
"ENSG00000198113",2006,322,2356,3209,2721,4936,1398,3218,2350,2100,4402,1949,2053,1392,2837
"ENSG00000198435",2698,1056,2268,3312,3958,4295,3008,2853,2308,4234,8471,2753,4801,3090,2382
"ENSG00000187609",2028,2478,1019,2246,1875,4481,3383,1835,1580,1580,1599,988,4642,2179,2952
"ENSG00000188747",689,607,774,1458,1847,3515,1853,935,1223,993,940,731,3033,826,1138
"ENSG00000188833",180,252,82,320,290,1710,1727,348,959,338,375,231,2035,883,1491
"ENSG00000165802",1738,1297,2004,1697,2564,3811,1776,1880,1556,1390,2988,1193,2465,1115,1259
"ENSG00000261456",0,11,0,0,5,0,7,8,3,0,0,0,0,2,0
"ENSG00000015171",2646,2281,1836,1833,3146,1543,1308,2040,1830,2417,3056,2197,1317,2020,1192
"ENSG00000130653",405,759,201,775,961,3351,3614,516,1720,311,192,253,4882,950,1812
"ENSG00000182154",551,441,513,678,1155,1834,825,646,819,677,1766,471,1579,626,577
"ENSG00000148399",2209,1437,995,1065,1208,2122,1511,1204,1027,977,1298,854,1350,1081,843
"ENSG00000197070",2007,1448,1536,1765,1702,2850,1917,1225,1600,1404,1377,928,2207,1173,1577
"ENSG00000181090",11673,17375,11917,9726,13122,17138,7473,10325,5219,6828,9138,6737,8314,14141,14335
"ENSG00000148408",14,23,8,15,7,23,92,29,83,10,4,0,89,2,0
"ENSG00000165724",868,549,550,542,451,692,352,587,522,589,1320,473,426,320,423
"ENSG00000151240",1285,3191,1532,915,385,1204,1625,1699,1260,861,1159,728,2926,1325,971
"ENSG00000107929",8765,15822,9015,9305,12569,9144,7711,9091,6935,9059,15798,10368,7167,7194,7087
"ENSG00000185736",13,178,43,15,24,12,31,57,28,11,33,37,9,46,13
"ENSG00000047056",2916,4773,2915,3129,4739,3255,3662,3166,3112,2806,4494,3041,3497,4131,4557
"ENSG00000107937",2350,2832,3082,2038,2051,1348,1033,2256,1633,2066,3480,1855,861,1298,989
"ENSG00000148377",2,3,5,4,0,4,5,0,3,0,4,4,2,1,0
"ENSG00000067064",650,839,1076,357,387,318,350,959,565,596,2403,1013,257,476,955
"ENSG00000067057",1642,1243,2157,3618,5132,3537,3364,2051,1782,3276,3077,1234,2481,1885,2423
"ENSG00000107959",1458,3427,2594,2495,2786,1505,1968,3122,2036,2710,2774,2376,1662,1402,1079
"ENSG00000067082",4518,7001,5264,9850,15173,6344,6937,20774,5921,7045,15812,2854,6162,10100,5597
"ENSG00000165568",257,591,580,487,615,527,389,13,72,430,572,0,371,82,128
"ENSG00000187134",588,719,732,692,1093,581,553,21,142,1265,728,98,676,274,176
"ENSG00000151632",56,98,177,387,742,246,470,171,697,1247,560,187,112,214,826
"ENSG00000196139",231,716,3197,3401,4779,948,1299,1603,1612,5125,5549,3652,459,1186,1444
"ENSG00000264006",25,18,103,6,12,2,4,7,4,7,2,3,0,7,4
"ENSG00000198610",19,1,7,0,2,0,0,16,5,2,0,7,0,0,0
"ENSG00000178462",42,28,187,134,513,215,147,43,254,210,454,62,47,278,328
"ENSG00000178363",15,22,3,4,0,7,7,14,10,2,0,16,0,0,0
"ENSG00000173848",4786,5560,6112,7350,9690,3269,2970,5411,4260,7726,17033,7555,3114,5071,2915
"ENSG00000196372",544,504,1144,416,1393,727,525,472,638,768,1068,879,556,477,486
"ENSG00000057608",6578,7419,8503,7640,11826,2448,2250,7991,4816,10268,16044,14830,2100,4282,3669
"ENSG00000108021",11706,12462,17365,9961,12289,7961,8254,8708,7928,7254,16322,8144,7984,10481,6804
"ENSG00000134460",72,235,359,49,52,23,116,197,40,55,179,59,10,66,43
"ENSG00000134452",2804,4873,3284,2902,3312,4193,3776,3235,3019,2802,5310,3156,4173,3738,3157
"ENSG00000134470",321,523,741,627,500,388,597,610,331,251,572,379,305,327,286
"ENSG00000134461",448,870,511,397,382,567,440,303,378,345,630,402,630,309,282
"ENSG00000134453",2287,3236,2496,2163,2769,2164,1692,2152,2225,2169,4877,2162,1919,2395,1622
"ENSG00000170525",2198,7610,4623,1907,3489,2065,847,2059,1646,3210,763,466,2711,2515,2866
"ENSG00000065675",359,389,803,461,253,100,280,366,255,256,150,307,139,230,105
"ENSG00000198879",347,2615,803,356,516,285,1345,754,599,136,963,167,936,1799,800
"ENSG00000123243",140,2081,654,82,101,127,447,198,216,50,253,122,1321,699,341
"ENSG00000151655",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSG00000151657",726,1056,531,705,1038,738,611,610,741,716,769,638,660,964,811
"ENSG00000165629",2580,3069,3949,3501,5162,1342,1392,3523,2411,5221,13542,6679,1182,2333,1929
"ENSG00000107485",14,173,63,28,49,54,53,42,26,14,26,32,93,150,36
"ENSG00000165632",367,882,607,663,556,661,546,676,610,537,582,500,679,622,500
"ENSG00000048740",1502,936,1681,1378,933,1396,1379,2489,1554,3005,3738,3844,1440,1173,698
